               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  87,            0.035257,            0.043518,                   0,              0.8753,             0.27688,             0.78075,             0.66595,            0.054169,            0.068337,                   0,           0.0082972,           0.0082972,           0.0082972
                  88,             0.03516,            0.042891,                   0,             0.89858,             0.19999,             0.75254,             0.65557,            0.054141,            0.071946,                   0,           0.0082774,           0.0082774,           0.0082774
                  89,            0.036603,            0.052388,                   0,             0.90452,             0.27213,             0.79236,             0.66864,            0.054451,            0.069095,                   0,           0.0082576,           0.0082576,           0.0082576
                  90,            0.034715,            0.049656,                   0,             0.85416,             0.25331,             0.77235,             0.66063,            0.055683,            0.072192,                   0,           0.0082378,           0.0082378,           0.0082378
                  91,            0.035089,            0.046278,                   0,             0.85862,             0.27541,             0.76525,             0.65907,            0.052431,            0.070679,                   0,            0.008218,            0.008218,            0.008218
                  92,            0.034447,            0.044219,                   0,                0.86,             0.23417,             0.74642,             0.65102,            0.053234,            0.072694,                   0,           0.0081982,           0.0081982,           0.0081982
                  93,             0.03555,            0.048876,                   0,             0.85545,             0.25037,             0.74284,             0.65061,            0.052571,            0.072838,                   0,           0.0081784,           0.0081784,           0.0081784
                  94,            0.034924,            0.049593,                   0,             0.85377,             0.26215,             0.75687,             0.65493,            0.053109,            0.072483,                   0,           0.0081586,           0.0081586,           0.0081586
                  95,             0.03424,            0.043812,                   0,             0.85507,              0.2489,             0.77981,             0.66288,            0.053536,            0.069542,                   0,           0.0081388,           0.0081388,           0.0081388
                  96,            0.034007,            0.039629,                   0,             0.89171,              0.2489,             0.77621,              0.6623,            0.053567,            0.068855,                   0,            0.008119,            0.008119,            0.008119
                  97,            0.034488,            0.044565,                   0,               0.893,             0.26068,             0.77819,               0.663,            0.054827,            0.066528,                   0,           0.0080992,           0.0080992,           0.0080992
                  98,            0.033747,            0.048761,                   0,             0.97151,             0.20197,             0.77891,             0.66124,            0.054314,            0.066326,                   0,           0.0080794,           0.0080794,           0.0080794
                  99,            0.033531,            0.041732,                   0,             0.94356,             0.22893,             0.78006,             0.66014,             0.05565,            0.068389,                   0,           0.0080596,           0.0080596,           0.0080596
                 100,            0.035783,            0.042416,                   0,             0.90908,             0.21208,             0.75943,             0.65444,            0.059394,            0.071356,                   0,           0.0080398,           0.0080398,           0.0080398
                 101,            0.033877,            0.044769,                   0,             0.89958,             0.22386,             0.74742,             0.65159,             0.05908,             0.07094,                   0,             0.00802,             0.00802,             0.00802
                 102,            0.033826,            0.040845,                   0,              0.9553,              0.1944,             0.76745,             0.65634,             0.05828,            0.072387,                   0,           0.0080002,           0.0080002,           0.0080002
                 103,            0.034171,            0.044031,                   0,             0.90378,             0.25773,             0.78933,             0.66655,            0.053442,             0.07257,                   0,           0.0079804,           0.0079804,           0.0079804
                 104,            0.033708,            0.047031,                   0,             0.92118,             0.24006,             0.78074,             0.66579,            0.053087,            0.072885,                   0,           0.0079606,           0.0079606,           0.0079606
                 105,            0.033306,            0.043158,                   0,             0.89112,             0.27277,             0.79056,             0.66784,            0.052201,            0.069691,                   0,           0.0079408,           0.0079408,           0.0079408
                 106,            0.031842,             0.04231,                   0,             0.95424,             0.26068,             0.80459,             0.67253,            0.050317,            0.070984,                   0,            0.007921,            0.007921,            0.007921
                 107,            0.032139,            0.039391,                   0,             0.89064,              0.2327,             0.78922,             0.66942,            0.052656,            0.075183,                   0,           0.0079012,           0.0079012,           0.0079012
                 108,            0.033359,            0.043352,                   0,             0.97463,             0.22239,              0.7949,             0.66862,            0.051884,            0.072019,                   0,           0.0078814,           0.0078814,           0.0078814
                 109,              0.0337,            0.045133,                   0,             0.93719,             0.22975,             0.78953,             0.67091,            0.052594,            0.071159,                   0,           0.0078616,           0.0078616,           0.0078616
                 110,             0.03161,            0.037561,                   0,             0.93226,             0.25626,             0.79121,             0.66402,            0.054027,            0.072029,                   0,           0.0078418,           0.0078418,           0.0078418
                 111,            0.032393,            0.041569,                   0,             0.86812,             0.27947,             0.78895,             0.66455,            0.053944,            0.071096,                   0,            0.007822,            0.007822,            0.007822
                 112,            0.033293,            0.039172,                   0,              0.8943,             0.25037,             0.78032,             0.66054,            0.054186,            0.071703,                   0,           0.0078022,           0.0078022,           0.0078022
                 113,            0.032479,            0.043007,                   0,             0.93618,             0.23711,             0.79159,             0.66275,            0.059634,            0.075253,                   0,           0.0077824,           0.0077824,           0.0077824
                 114,            0.032584,            0.039692,                   0,             0.89017,             0.22091,             0.76696,             0.65683,             0.05642,            0.073794,                   0,           0.0077626,           0.0077626,           0.0077626
                 115,            0.032176,            0.040102,                   0,             0.86381,             0.22828,             0.75319,             0.65132,            0.059043,            0.075441,                   0,           0.0077428,           0.0077428,           0.0077428
