               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  97,            0.031445,            0.041366,                   0,             0.87103,             0.26657,             0.76151,             0.65507,            0.059817,            0.073685,                   0,           0.0080992,           0.0080992,           0.0080992
                  98,            0.031363,            0.044433,                   0,             0.86132,             0.26676,             0.76449,             0.65747,            0.057426,            0.073112,                   0,           0.0080794,           0.0080794,           0.0080794
                  99,            0.030578,            0.037977,                   0,             0.82617,             0.22297,             0.74146,             0.64874,            0.056923,            0.075334,                   0,           0.0080596,           0.0080596,           0.0080596
                 100,            0.032548,            0.038746,                   0,             0.87458,             0.20619,             0.74385,             0.64832,            0.057035,             0.08042,                   0,           0.0080398,           0.0080398,           0.0080398
                 101,            0.031665,            0.041091,                   0,             0.89181,             0.24006,             0.76535,             0.66019,            0.053203,            0.075611,                   0,             0.00802,             0.00802,             0.00802
                 102,            0.030526,            0.036853,                   0,             0.87418,              0.2327,             0.75435,             0.65187,            0.057861,            0.075721,                   0,           0.0080002,           0.0080002,           0.0080002
                 103,             0.03203,            0.040204,                   0,             0.89066,             0.25479,             0.75597,             0.65605,            0.056706,            0.073792,                   0,           0.0079804,           0.0079804,           0.0079804
                 104,            0.031588,            0.042471,                   0,             0.88818,             0.28277,             0.79016,             0.66707,            0.055764,            0.072782,                   0,           0.0079606,           0.0079606,           0.0079606
                 105,            0.031121,            0.038574,                   0,             0.90432,             0.27541,             0.77957,               0.661,            0.054725,            0.074758,                   0,           0.0079408,           0.0079408,           0.0079408
                 106,            0.029351,            0.038149,                   0,             0.85688,             0.22239,             0.73569,             0.64671,            0.056537,            0.072495,                   0,            0.007921,            0.007921,            0.007921
                 107,            0.029831,             0.03607,                   0,             0.86899,             0.21502,             0.74876,             0.65455,             0.05526,            0.076302,                   0,           0.0079012,           0.0079012,           0.0079012
                 108,            0.029617,            0.039275,                   0,             0.77376,             0.29013,             0.73183,             0.64648,            0.056061,            0.077072,                   0,           0.0078814,           0.0078814,           0.0078814
                 109,            0.030629,            0.041475,                   0,             0.84185,              0.2489,             0.74454,             0.64964,            0.052439,            0.076977,                   0,           0.0078616,           0.0078616,           0.0078616
                 110,            0.028884,            0.034397,                   0,             0.82085,             0.21355,             0.71282,             0.64212,            0.054029,            0.078836,                   0,           0.0078418,           0.0078418,           0.0078418
                 111,            0.029473,            0.038159,                   0,             0.84859,             0.20471,             0.73395,             0.64787,            0.054408,            0.079132,                   0,            0.007822,            0.007822,            0.007822
                 112,            0.028843,            0.034524,                   0,             0.86127,             0.20991,             0.73108,             0.64312,            0.054949,            0.080561,                   0,           0.0078022,           0.0078022,           0.0078022
                 113,            0.029126,            0.039118,                   0,             0.90085,             0.20324,             0.74705,             0.65197,            0.056333,            0.081536,                   0,           0.0077824,           0.0077824,           0.0077824
                 114,            0.029563,             0.03622,                   0,             0.86603,              0.2106,             0.74037,             0.65048,            0.057079,            0.080267,                   0,           0.0077626,           0.0077626,           0.0077626
                 115,            0.029499,            0.037329,                   0,             0.83108,             0.25626,             0.75733,             0.65373,            0.059884,             0.07618,                   0,           0.0077428,           0.0077428,           0.0077428
                 116,            0.029354,            0.040403,                   0,             0.83283,             0.22884,             0.74721,             0.65007,            0.056232,            0.074013,                   0,            0.007723,            0.007723,            0.007723
                 117,            0.029749,            0.038524,                   0,             0.86126,             0.21355,              0.7483,             0.65175,            0.053563,            0.074252,                   0,           0.0077032,           0.0077032,           0.0077032
                 118,            0.028562,            0.036827,                   0,             0.86292,             0.17861,             0.73479,             0.64894,            0.059741,            0.076416,                   0,           0.0076834,           0.0076834,           0.0076834
